Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6885f907c2dcf3d2ad604071,67ef36b28f01335edcacf720,APPROVED,Not Applicable,2025-07-27T10:01:43.612000Z,2025-07-27T10:17:49.249000Z,2025-07-29T06:36:04.284000Z,2025-07-27T10:17:49.713951Z,966.0,CJYS1MGD,909,English,39,Female,White,United States,United States,United States,English,No,Full-Time
6885f940a37fecf1c791b363,67ae87b0d1835460d0a99abd,APPROVED,Not Applicable,2025-07-27T10:02:44.201000Z,2025-07-27T10:20:10.428000Z,2025-07-29T06:36:04.694000Z,2025-07-27T10:20:10.914304Z,1047.0,CJYS1MGD,670,English,41,Female,Asian,United States,United States,United States,English,No,Part-Time
6885f9469e774d2850dd374a,66c3366a3b5834b89124e85a,APPROVED,Not Applicable,2025-07-27T10:03:30.312000Z,2025-07-27T10:15:14.695000Z,2025-07-29T06:36:05.110000Z,2025-07-27T10:15:15.232789Z,705.0,CJYS1MGD,3166,English,48,Female,White,United States,United States,United States,English,No,Full-Time
6885f94e8cf712b40d44f0f4,663d8f0edfd87b4c1f590b99,APPROVED,Not Applicable,2025-07-27T10:02:54.800000Z,2025-07-27T10:12:05.026000Z,2025-07-29T06:35:40.333000Z,2025-07-27T10:12:05.477947Z,551.0,CJYS1MGD,3652,English,30,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6885f95167f6794974294a75,6120d602c1976a4114dcb110,APPROVED,Not Applicable,2025-07-27T10:04:08.858000Z,2025-07-27T10:31:54.433000Z,2025-07-29T06:36:05.533000Z,2025-07-27T10:31:54.912125Z,1666.0,CJYS1MGD,2283,English,34,Female,White,United States,United States,United States,English,No,Full-Time
6885f951910a674ad0a4342d,5b87dd09019cf60001a115b3,APPROVED,Not Applicable,2025-07-27T10:10:25.351000Z,2025-07-27T10:18:01.250000Z,2025-07-29T06:35:40.757000Z,2025-07-27T10:18:01.722157Z,456.0,CJYS1MGD,5032,English,30,Male,White,United States,United States,United States,English,Yes,Full-Time
6885f952a8f2632d5ad99725,66ccdd9f6b12c6ea6fa01f42,APPROVED,Not Applicable,2025-07-27T10:03:03.041000Z,2025-07-27T10:13:11.057000Z,2025-07-29T06:35:41.182000Z,2025-07-27T10:13:11.551758Z,609.0,CJYS1MGD,2762,English,33,Male,White,United States,United States,Germany,English,DATA_EXPIRED,Full-Time
6885f95603e4fc02f2e2eaad,6334b0fc574064de4e68f578,APPROVED,Not Applicable,2025-07-27T10:03:07.125000Z,2025-07-27T10:10:13.701000Z,2025-07-29T06:36:05.938000Z,2025-07-27T10:10:14.148624Z,427.0,CJYS1MGD,5781,"English, Spanish",64,Female,White,United States,United States,United States,English,No,Full-Time
6885f958d6808e37a6f17a59,680cf3759bbfca13d68e130a,APPROVED,Not Applicable,2025-07-27T10:03:08.475000Z,2025-07-27T10:08:25.749000Z,2025-07-29T06:35:41.634000Z,2025-07-27T10:08:26.251702Z,318.0,CJYS1MGD,1330,English,57,Male,White,United States,United States,United States,English,No,Full-Time
6885f95e2bbce72edd5cbdb1,630a8feaa8eef385f72dc1a5,APPROVED,Not Applicable,2025-07-27T10:06:02.835000Z,2025-07-27T10:12:49.152000Z,2025-07-29T06:35:42.024000Z,2025-07-27T10:12:49.840084Z,407.0,CJYS1MGD,7952,"English, Urdu",37,Male,Asian,Pakistan,United States,United States,English,No,DATA_EXPIRED
6885f96f2cfd815a02c66824,5ac43d51a3ba7a0001b498d0,APPROVED,Not Applicable,2025-07-27T10:03:34.909000Z,2025-07-27T10:13:38.293000Z,2025-07-29T06:35:42.484000Z,2025-07-27T10:13:38.760717Z,604.0,CJYS1MGD,5779,English,41,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
6885f982e8960117def0cf25,631c8e97db06f601f81bd82f,APPROVED,Not Applicable,2025-07-27T10:04:32.990000Z,2025-07-27T10:16:40.784000Z,2025-07-29T06:35:42.862000Z,2025-07-27T10:16:41.291740Z,728.0,CJYS1MGD,11078,"English, Arabic",28,Male,White,United States,United States,United States,English,No,Full-Time
6885f99112454de9c0cd9bf9,674780197d2f877d208e64bf,APPROVED,Not Applicable,2025-07-27T10:04:01.060000Z,2025-07-27T10:14:24.989000Z,2025-07-29T06:36:06.381000Z,2025-07-27T10:14:25.497956Z,624.0,CJYS1MGD,2426,English,46,Female,Mixed,United States,United States,United States,English,Yes,Part-Time
6885f99e7b59dac0ba75b835,67dbbdb452081ea930c8ab17,APPROVED,Not Applicable,2025-07-27T10:04:14.752000Z,2025-07-27T10:16:49.764000Z,2025-07-29T06:35:43.271000Z,2025-07-27T10:16:50.230918Z,756.0,CJYS1MGD,1528,English,23,Male,Black,United States,United States,United States,English,No,Full-Time
6885f9acc914a0bc11c082a0,60fd38ded9e5eea835eba383,APPROVED,Not Applicable,2025-07-27T10:04:32.894000Z,2025-07-27T10:10:53.210000Z,2025-07-29T06:36:06.843000Z,2025-07-27T10:10:53.677131Z,381.0,CJYS1MGD,1072,English,62,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6885f9b82b443ae9ed9b31b3,60fe13342d406f2ab38383a8,APPROVED,Not Applicable,2025-07-27T10:04:45.356000Z,2025-07-27T10:19:58.448000Z,2025-07-29T06:36:07.307000Z,2025-07-27T10:19:58.925036Z,914.0,CJYS1MGD,330,English,58,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
6885f9b9e5891a4d220af965,67dbeabb9f3bd066c8a56685,APPROVED,Not Applicable,2025-07-27T10:04:41.361000Z,2025-07-27T10:12:39.334000Z,2025-07-29T06:36:07.739000Z,2025-07-27T10:12:39.811058Z,478.0,CJYS1MGD,726,English,52,Female,White,United States,United States,United States,English,No,Part-Time
6885f9c14f5f92d80823b215,67f020ded233a50f479c4c87,APPROVED,Not Applicable,2025-07-27T10:13:57.757000Z,2025-07-27T10:37:35.859000Z,2025-07-29T06:35:43.656000Z,2025-07-27T10:37:36.317989Z,1419.0,CJYS1MGD,1897,English,42,Male,White,United States,United States,United States,English,No,Part-Time
6885f9c2b3acc74bc8f3748d,5e6d8c46f93a0c35d1f82335,RETURNED,Not Applicable,,,,2025-07-29T06:33:38.487530Z,,,4702,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6885f9c749e14c05921e1e2b,67a60aab3179b5e743db2a2b,APPROVED,Not Applicable,2025-07-27T10:05:39.838000Z,2025-07-27T10:15:02.090000Z,2025-07-29T06:35:44.050000Z,2025-07-27T10:15:02.556374Z,563.0,CJYS1MGD,1618,English,67,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
6885f9cc71fdebbf9d705114,5e914ee346d11b48197172c2,RETURNED,Not Applicable,,,,2025-07-29T06:33:38.488576Z,,,2912,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6885f9cc7adc8844b4dc742d,5c309bb410677f0001dda0ed,APPROVED,Not Applicable,2025-07-27T10:05:00.257000Z,2025-07-27T10:22:18.320000Z,2025-07-29T06:35:44.429000Z,2025-07-27T10:22:18.784770Z,1039.0,CJYS1MGD,4081,English,44,Male,White,United States,United States,United States,English,No,Full-Time
6885f9dcce290f0206cb1fd6,67727321dbba1f283636b298,APPROVED,Not Applicable,2025-07-27T10:06:15.016000Z,2025-07-27T10:20:18.856000Z,2025-07-29T06:36:08.143000Z,2025-07-27T10:20:19.333114Z,844.0,CJYS1MGD,1649,English,53,Female,White,United States,United States,United States,English,No,Other
6885f9ef116806dfd3948340,5d55d43e25dd4c00174122dc,APPROVED,Not Applicable,2025-07-27T10:05:35.149000Z,2025-07-27T10:10:28.352000Z,2025-07-29T06:35:44.995000Z,2025-07-27T10:10:28.812712Z,294.0,CJYS1MGD,2673,English,49,Male,White,United States,United States,United States,English,No,Full-Time
6885f9fadc38c7aba98b83b2,5db0a97f127d4000117cdfa0,APPROVED,Not Applicable,2025-07-27T10:05:51.724000Z,2025-07-27T10:14:32.181000Z,2025-07-29T06:36:08.565000Z,2025-07-27T10:14:32.653779Z,521.0,CJYS1MGD,6231,English,49,Female,White,United States,United States,United States,English,No,Full-Time
