p1_ssf_sim,p2_ssf_sim,p1_sem_sim,p2_sem_sim,majority_preference,ssf_sim_pred,sem_sim_pred,ssf_correct,sem_correct
0.4128558933,0.6386036911,0.11707543,0.19907188,B,B,B,True,True
0.3603132496,0.416538618,0.10784012,-0.10105747,B,B,A,True,False
0.484379368,0.4374254574,0.052912023,0.0014489833,A,A,A,True,True
0.38032829,0.2920033334,0.08680186,0.05099684,A,A,A,True,True
0.3904772157,0.5158850407,0.24749453,-0.01789549,A,B,A,False,True
0.3069804398,0.387056873,0.1290265,0.07418377,A,B,A,False,True
0.3028934364,0.3318973695,-0.06563276,0.44497505,B,B,B,True,True
0.3670649853,0.4877300078,-0.035917174,-0.026521217,B,B,B,True,True
0.5089685072,0.3144280428,0.1213643,-0.051779814,B,A,A,False,False
0.4399464571,0.4055358758,-0.014284717,0.21903867,A,A,B,True,False
0.4253950109,0.2368801578,-0.018812552,0.31208226,B,A,B,False,True
0.3048815858,0.3767211239,0.003983653,0.047125027,A,B,B,False,False
0.4187022632,0.4250921563,0.050942406,-0.028329818,B,B,A,True,False
0.4638872474,0.3190872644,0.17232454,0.08954655,B,A,A,False,False
0.4153750352,0.2947968432,0.15142205,0.0034300415,A,A,A,True,True
0.4896383615,0.3500682014,0.06178112,0.029314192,B,A,A,False,False
0.2798203834,0.5199779545,0.0772424,0.10011759,B,B,B,True,True
0.3033213611,0.4534136615,0.049768627,0.08678377,B,B,B,True,True
0.4809021834,0.1453818931,-0.07130294,-0.009608407,A,A,B,True,False
0.3237739319,0.4012519861,0.086558655,-0.004679583,A,B,A,False,True
0.3191226803,0.4913930443,0.09255754,-0.015299644,B,B,A,True,False
0.3553163046,0.3328283137,0.063316666,-0.03045138,A,A,A,True,True
0.3416823721,0.3493025334,0.048294947,0.102331474,B,B,B,True,True
0.3110006032,0.5444452112,0.010982823,0.41122302,B,B,B,True,True
0.3719964995,0.5854338883,0.062904134,0.19299686,B,B,B,True,True
0.3081907997,0.2469196477,0.007082115,0.053092323,A,A,B,True,False
0.335172056,0.4238206599,-0.002029352,0.11056559,B,B,B,True,True
0.5204246626,0.1777948884,0.25649363,0.004467625,A,A,A,True,True
0.2992148768,0.3726567822,0.06460862,-0.009977897,B,B,A,True,False
0.533879416,0.1882910474,0.4166144,0.09585172,A,A,A,True,True
0.319257344,0.3221989369,0.031866908,-0.013644587,B,B,A,True,False
0.4879413726,0.5025072352,0.06457004,0.11391541,A,B,B,False,False
0.3295020552,0.3799977291,-0.015530273,0.04154213,B,B,B,True,True
0.2902485311,0.235390283,0.08390707,0.24379465,B,A,B,False,True
0.4312442605,0.2354125727,0.016979137,0.142569,A,A,B,True,False
0.2676839256,0.4309480501,-0.04741235,0.0351863,B,B,B,True,True
0.2615476436,0.299656175,0.014864951,0.29162505,B,B,B,True,True
0.4710781877,0.2790282061,-0.057248995,-0.039870378,A,A,B,True,False
0.1721482308,0.3798743487,-0.11856982,0.013282426,B,B,B,True,True
0.2879187529,0.4072302142,0.124326184,0.034000654,B,B,A,True,False
0.2687416748,0.4662251059,0.029149123,-0.008615794,B,B,A,True,False
0.2982854093,0.2304436009,-0.04781045,-0.07182208,B,A,A,False,False
0.446375902,0.4521283257,0.20782515,0.11832265,B,B,A,True,False
0.1357149245,0.2564131136,-0.062351786,0.030555068,B,B,B,True,True
0.404102782,0.3803289205,0.23286124,0.24245763,A,A,B,True,False
0.4410919574,0.3097642619,-0.010336116,0.06441892,A,A,B,True,False
0.5202445769,0.5134935531,0.05593093,-0.07068139,B,A,A,False,False
0.4151068966,0.409096413,0.041357137,0.105598986,A,A,B,True,False
0.5349820524,0.3685476898,0.14993964,0.072279505,A,A,A,True,True
0.3395335559,0.3220286621,0.09859146,-0.042327397,B,A,A,False,False
