p1_a_id,p1_b_id,p2_a_id,p2_b_id,majority_preference_ann1,majority_preference_ann2,agreement
e5qy5ce,e59ckbm,e6nd8ng,e5ndsrd,B,A,False
e6apy8x,e5z0rjm,e5ez3kc,e66cza1,B,B,True
e68uva0,e6gizp0,e6nlb33,e5qix62,A,A,True
e6caea7,e5n4z66,e5pvtf8,e655ivd,A,A,True
e5qlibt,e5wse89,e6soa22,e6i5eho,A,A,True
e6s6y2z,e5e76yy,e60se2n,e585jdx,A,A,True
e5ivvwv,e6ia8af,e6iytav,e6okauk,B,B,True
e5f2t35,e5r1or4,e59llh9,e5ey35a,B,B,True
e6bh2l8,e5so82w,e6qweyg,e6k5tm4,B,A,False
9dl2y0,e6chg7i,9h0gxt,9ihqvt,A,B,False
e6o8uyu,e5eqg8h,e5brkz5,9ioby7,B,A,False
9ex84l,e6xoofw,e5t37gw,e6b1y8u,A,B,False
e59hhp6,e6jggtg,e69ulm5,e5pyc6w,B,B,True
e5boabj,e6rci5h,e601kiy,e5gml7d,B,B,True
e5dnj2x,e6h52fa,e6nqvul,e673kwm,A,A,True
e6wikyy,e5tsq59,e6nq3sw,e5ooofj,B,A,False
e6ookw5,e6kfspy,e5bn7fm,e68nbkw,B,B,True
e6ve95s,e5rvtv2,e5byruw,e6l9zy8,B,B,True
e5zoszo,e68u5p9,e5uuwtm,9f14y1,A,A,True
e6k6b6j,e686yrv,e6ti3r2,e57qarx,A,A,True
e5zdbfn,e6n31qy,e5ue4ro,e6odkkv,B,B,True
e68krcg,e5o9ii9,e6bl241,e6r3qc3,A,A,True
e5luh91,e68lm9n,e5ur4m8,e5mbp37,B,B,True
e62tikj,e5vx37e,e5xc7v4,e5xqvdr,B,A,False
e5ycomz,e5kttj6,e5mp9w0,e6nfuqc,B,B,True
e5kofy9,e5bop10,e5lb4pk,e5zrxfr,A,B,False
e5yjv8t,e6akuc4,e6eck4m,e5e7px3,B,A,False
e5n7tvd,e60e9rm,e6ilbb6,e6o06ko,A,B,False
e5qytjh,e5ekncp,e6nghv8,e6sob6d,B,B,True
9k8q9i,9ir45j,e5tn95y,e67f00p,A,B,False
e5a4lmt,e6rbo8i,e593z4k,e60iwuy,B,A,False
